sentence1,sentence2,score
नतिजाहरू नेचर जर्नलको नोभेम्बर 6 को संस्करणमा प्रकाशित छन्।,"दुबै अध्ययनहरू बिहीबार नेचरमा प्रकाशित छन्, ब्रिटिश साप्ताहिक विज्ञान जर्नल।",2.6
"मुद्रास्फीतिको हिसाबले औसत घरपरिवार आय 2001 र 2002 बीच 1.1 प्रतिशतले $ 42,409 मा घट्यो।","सोही सर्वेक्षणले मुद्रास्फीतिको हिसाब गर्दा औसत घरपरिवार आय $ 51 ले बढेर $ 43,057 पुगेको पत्ता लगायो।",1.4
"अमेरिका र युरोपेली नेताहरूले बुधबार इरानलाई आणविक हतियार विकास गर्नबाट जोगाउन सँगै काम गर्ने वाचा गरे, इराकमा महिनौंदेखिको तीतो आक्रोश पछि संयुक्त मोर्चा प्रस्तुत गर्दै।","बुशले भने कि अमेरिका र युरोपेली संघका नेताहरू, वार्षिक वाशिंगटन शिखर सम्मेलनमा, इरानलाई आणविक हतियार विकास गर्नबाट रोक्नको आवश्यकतामा सहमत थिए।",3.2
उनले सेना छोडेर सिरिया गए जहाँ उनले धार्मिक तालिम लिए।,"उनी सिरिया गए, जहाँ उनले परम्परागत इस्लामिक विश्वासहरूमा थप धार्मिक प्रशिक्षण लिए।",3.0
"बैठक बुधवार राती समाप्त हुने तालिका थियो, उपस्थितहरूले मुद्दाहरूमा सम्प्रदायको दृष्टिकोण व्यक्त गर्ने तर चर्चहरूमा बाध्यकारी नभएका प्रस्तावहरू अनुमोदन गर्दै।","बुधवार, सहभागीहरूले मुद्दाहरूमा दक्षिणी ब्याप्टिस्ट दृष्टिकोण व्यक्त गर्ने प्रस्तावहरूमा मतदान गर्नेछन्, तर व्यक्तिगत चर्चहरूमा बाध्यकारी छैनन्।",3.273
तर विभिन्न उपसमूहहरूमा विद्यार्थीहरूको अपर्याप्त प्रदर्शनले संघीय नो चाइल्ड लेफ्ट बिहान्ड ऐन अन्तर्गत राज्यलाई कमजोरको रूपमा ट्याग गर्‍यो।,तर दौड जस्ता विभिन्न उपसमूहहरूमा विद्यार्थीहरूको अपर्याप्त प्रदर्शनले राज्यलाई संघीय नो चाइल्ड लेफ्ट बिहाइन्ड ऐन अन्तर्गत आवश्यकता-सुधार सूचीमा धकेल्यो।,4.0
"यसले 270 किलोग्राम क्यानकुएन वेदीको पुन: प्राप्तिको नेतृत्व गर्‍यो, नासभिलको भान्डरबिल्ट विश्वविद्यालय र नेशनल जियोग्राफिक सोसाइटीले बुधबार घोषणा गरेको थियो।","यसले गत महिना 600-पाउन्ड क्यानकुन वेदीको पुन: प्राप्तिको नेतृत्व गर्‍यो, नासभिलको भान्डरबिल्ट विश्वविद्यालय र नेसनल जियोग्राफिक सोसाइटीले बुधबार घोषणा गर्‍यो।",3.25
"डीनमा धेरै सूक्ष्म स्वाइपमा, उनले भविष्यवाणी गरे कि अमेरिकीहरूले डेमोक्र्याटलाई चयन गर्दैनन् ""जसले यी खतरनाक समयमा अनिश्चित तुरही सुन्दछ।""","उनीहरूले यस खतरनाक समयमा अनिश्चित तुरही बजाउने डेमोक्र्याटलाई राष्ट्रपतिको रूपमा चयन गर्नेछैनन्।""",3.5
"प्रतिवेदनले यस वर्ष विश्वभर ७१,०७९ हट स्पट हुने प्रक्षेपण गरेको छ, जुन २००२ मा १४,७५२ र २००१ मा १,२१४ थियो।","प्रतिवेदनले यो पनि दाबी गरेको छ कि यस वर्ष हट स्पटहरूमा 9.3 मिलियन आगन्तुकहरू हुनेछन्, जुन 2002 मा सानो 2.5 मिलियन थियो।",1.75
"युरोपमा गरिएको एउटा नयाँ अध्ययनले औषधिले पनि काम गरेको फेला पारेको छ, जसलाई ImClone Systems द्वारा प्रायोजित गरिएको थियो।","डाक्टरहरूले निष्कर्ष निकाले कि Erbitux, क्यान्सर औषधि जसले ImClone Systems लाई एक इन्साइडर ट्रेडिङ स्क्यान्डलमा घेरेको थियो, त्यसैगरी काम गरेको थियो जुन पहिलेको कम्पनी-प्रायोजित अध्ययनले गरेको थियो।",2.7
"उनका वकिल डोनाल्ड लेभिनले टेलिग्राफलाई बताइन् कि उनलाई अष्ट्रेलियाली टिभीमा विशेष रूपमा आफ्नो कथा सुनाउन US$250,000 प्रस्ताव गरिएको थियो।","श्री लेभिनले भनिन् कि उनलाई अष्ट्रेलियाको टिभी नेटवर्कलाई आफ्नो कथा सुनाउन $ 400,000 प्रस्ताव गरिएको थियो।",3.75
पेरीले कङ्ग्रेसको पुन: वितरणलाई सम्बोधन गर्न सांसदहरूलाई दुई विशेष सत्रमा बोलाए।,पेरीले त्यसपछि पुन: वितरण योजनालाई बलियो बनाउन प्रयास गर्न दुई विशेष विधायी सत्रहरू बोलाए।,3.75
AirTran अधिकारीहरू र एक बोइङ अधिकारीले हिजो टिप्पणी गर्न अस्वीकार गरे।,बोइङका प्रवक्ता ट्रिस योर्कले सम्झौतामा टिप्पणी गर्न अस्वीकार गरे।,4.0
"मुद्दामा शेली, एक डेमोक्र्याट, र लस एन्जलस, ओरेन्ज र सान डिएगो काउन्टीहरूमा रजिस्ट्रारहरू छन्।","मुकदमा राज्य सचिव केभिन शेली, एक डेमोक्र्याट, र लस एन्जलस, ओरेन्ज र सान डिएगो काउन्टीहरूमा मतदाताहरूको रजिस्ट्रारहरूलाई नाम दिइएको थियो।",4.2
मध्यअमेरिकी स्वतन्त्र व्यापार सम्झौता सिर्जना गर्ने वार्ताको पछिल्लो चरणमा उनीहरूले राम्रो प्रगति गरेको वार्ताकारहरूले शुक्रबार बताएका छन्।,वार्ताकारहरूले शुक्रबार भने कि उनीहरूले ह्युस्टनमा यस हप्ता संयुक्त राज्य अमेरिका र पाँच मध्य अमेरिकी देशहरू बीचको स्वतन्त्र-व्यापार वार्ताको पछिल्लो चरणमा प्रगति गरेका छन्।,3.75
"""जापानमा ठूला सिन्डिकेट ऋणहरू गर्न धेरै गाह्रो छ,"" जहाँ विशेषज्ञताको अभाव छ, एक बैंकर भन्छन्।","""जापानमा ठूला सिन्डिकेट ऋणहरू गर्न धेरै गाह्रो छ,"" एक बैंकर भन्छन्।",3.8
मुद्दा इलिनोइसबाट बाहिर आएको छ र यसमा टेलिमार्केटिंग एसोसिएट्स इंक भनिने नाफाको लागि कम्पनी समावेश छ।,"केसले सोमबार इलिनोइस फन्ड-रेजर, टेलिमार्केटिंग एसोसिएट्सको वरिपरि केन्द्रित भएको निर्णय गर्यो।",4.4
"उनले कांग्रेसलाई आग्रह गरे ""मलाई जतिसक्दो चाँडो अन्तिम बिल पठाउनुहोस् ताकि म यसलाई कानूनमा हस्ताक्षर गर्न सकूँ।""","""म कांग्रेसलाई कुनै पनि मतभेद छिटो समाधान गर्न र मलाई जतिसक्दो चाँडो अन्तिम बिल पठाउन आग्रह गर्दछु ताकि म यसलाई कानूनमा हस्ताक्षर गर्न सकूँ,"" उनले भने।",4.6
"श्री पिन्जियोन म्यासाचुसेट्स सुधारात्मक कानूनी सेवा, कैदीहरूको अधिकार समूहको लागि मुकदमेबाजी निर्देशक हुनुहुन्छ।","पिन्जियोनले भने कि उनको संगठन, म्यासाचुसेट्स सुधारात्मक कानूनी सेवाका लागि एक वकिलले मंगलबार असानको अन्तर्वार्ता लिए।",1.667
"यी वेस्ट प्वाइन्ट, न्यूयोर्कमा रहेको अमेरिकी मिलिटरी एकेडेमीको 1990 स्नातक हुन्।",यी संयुक्त राज्यमा हुर्केका थिए र वेस्ट प्वाइन्टको अमेरिकी सैन्य एकेडेमीबाट स्नातक गरे।,4.0
"""पीएनसी आफ्नो संलग्नतामा पश्चाताप गर्दछ"", अध्यक्ष र मुख्य कार्यकारी अधिकारी जेम्स रोहरले एक विज्ञप्तिमा भने।","जेम्स रोहर, अध्यक्ष र प्रमुख कार्यकारी अधिकारीले पीएनसीले घटनाप्रति खेद व्यक्त गरे।",4.333
"CCAG ले बिल करीलाई समर्थन गर्‍यो, 2002 गवर्नेटोरियल चुनावमा रोल्याण्डको विपक्षी।",श्री स्वानको समूहले 2002 को चुनावमा गभर्नरको डेमोक्रेटिक विपक्षी बिल करीलाई समर्थन गर्यो।,3.0
तिनीहरू पछि बाहिरिए र हालका वर्षहरूमा प्रतिद्वन्द्वी कंगोली मिलिसियाहरूको श्रृंखलालाई समर्थन गरेका छन्।,"दुई आक्रमणकारी देशहरू पछि पसे, र त्यसपछि प्रतिद्वन्द्वी गुटहरूलाई समर्थन गरेका छन्।",3.5
अर्कोले भने कि यसका सदस्यहरूले संघीय व्यापार आयोगको सूचीमा 50 मिलियन भन्दा बढी फोन नम्बरहरूमा कल गर्न जारी राख्नेछ।,"यसैबीच, प्रत्यक्ष मार्केटिङ एसोसिएसनले भन्यो कि यसका सदस्यहरूले सूचीमा रहेको लगभग 51 मिलियन नम्बरहरूमा कल गर्नु हुँदैन।",2.0
दिग्गज मनोरन्जनकर्ता बब होपले बिहीबार आफ्नो १०० औं जन्मदिन मनाए - र धेरै वर्षदेखि शो व्यवसायमा - बिहीबार।,हलिउड र विश्व बिहीबार पौराणिक मनोरन्जनकर्ता बब होपको 100 औं जन्मदिन मनाउन तयारीमा छन्।,3.75
न्यूयोर्क स्टक एक्सचेन्जमा 2 देखि 1 सम्म अग्रगामीहरूको संख्या घट्यो।,NYSE मा 8 देखि 3 सम्म र Nasdaq मा 11 देखि 5 भन्दा बढि अस्वीकृत गर्नेहरूको संख्या बढ्यो।,1.8
"4.5 एकडमा फ्लाइट डेक भएको फ्लोटिंग एयरफिल्ड, जहाज निर्माण गर्न करिब पाँच वर्ष लाग्यो।","रीगन, 4.5 एकडमा फ्लाइट डेक भएको फ्लोटिंग एयरफिल्ड, न्युपोर्ट न्यूज शिपयार्डमा निर्माण हुने नवौं निमिट्ज-क्लास क्यारियर हो।",2.667
"म यस राज्यका नागरिकहरूप्रति गर्व गर्छु, क्यासिनोका शत्रु गभर्नर जोन बाल्डाकीले भने।","""मलाई यस राज्यका नागरिकहरूप्रति गर्व छ,"" गभर्नर जोन बाल्डासीले मंगलबारको जनमत संग्रहको मतगणना पछि भने।",3.8
एक घाइते महिला सहकर्मीलाई पनि अस्पतालमा भर्ना गरिएको थियो र उनको अवस्था राम्रो छ।,मेमोरियलको हेल्थपार्क क्याम्पसमा एक महिलाको अवस्था राम्रो रहेको उनले बताए ।,2.2
"गोली प्रहारबाट पीडितलाई किंग्स काउन्टी अस्पताल केन्द्रमा लगिएको थियो, जहाँ उनको पछि मृत्यु भयो, प्रहरीले भने।",पहिचान नखुलेका पीडितलाई किंग्स काउन्टी अस्पताल लगिएकोमा उनलाई मृत घोषणा गरिएको थियो।,4.333
"उनीहरुमा ज्वरो आउने, टाउको दुख्ने, दाना र मांसपेशी दुख्ने लक्षण देखिएको थियो ।","लक्षणहरूमा घाँटी कडा हुनु, ज्वरो आउने, टाउको दुख्ने र प्रकाशप्रति संवेदनशीलता समावेश छ।",2.333
"""हामी पूर्ण अपरिचित जस्तै भएका छौं,"" क्लेनले उनको भनाइ उद्धृत गरे।","""हामी पूर्ण अपरिचितहरू जस्तै भयौं,"" जोनले आफ्नो मृत्युको दुई दिन अघि एक साथीलाई भने।",3.25
"डेभीले शनिबार नर्थवेस्ट कलेजबाट स्नातक गरे, जुन ईश्वरको सभासँग सम्बद्ध छ, धर्म र दर्शनमा कलाको स्नातकको साथ।","डेभीले 1999 मा मन्त्री बन्ने योजनाको साथ नर्थवेस्ट कलेजमा भाग लिन थाले, जुन ईश्वरको सभासँग सम्बद्ध छ।",2.25
"टेक्नोलोजीमा आधारित Nasdaq कम्पोजिट इन्डेक्स IXIC २३.५४ अंक वा १.४२ प्रतिशतले घटेर १,६३०.०८ मा पुगेको छ।",फराकिलो स्ट्यान्डर्ड एन्ड पुअर्स ५०० इन्डेक्स एसपीएक्सले ११.९१ अंक वा १.१९ प्रतिशतले माथि ९८६.६० मा पुगेको छ।,0.75
"""सशस्त्र सेनालाई मिसाइल पुर्‍याउनु अघि यो अन्तिम परीक्षण थियो।",राज्य रेडियोले भने कि यो मिसाइल सशस्त्र सेनालाई पुर्‍याउनु अघि अन्तिम परीक्षण थियो।,4.0
"""हाम्रो देशबाट तपाईको फिर्ता अपरिहार्य छ, चाहे यो आज होस् वा भोलि, र भोलि चाँडै आउनेछ।""","""हाम्रो देशबाट तपाइँको फिर्ता अपरिहार्य छ, यो आज वा भोलि हुन्छ,"" आवाज थपियो, जसले ""सेप्टेम्बरको मध्य"" भनेर मिति दिएर हस्ताक्षर गर्यो।",3.5
"टेरी शिन्डलर-शियाभो फाउन्डेशन द्वारा पठाइएको एक समाचार विज्ञप्ति अनुसार, फ्लोरिडाका सभामुख जोनी बर्डले सोमबार विशेष सत्रमा ""टेरीको बिल"" पेश गर्नेछन्।","फ्लोरिडाका सभामुख जोनी बर्डले आज टल्लाहसीमा आयोजित राज्य व्यवस्थापिकाको एक दिने विशेष सत्रमा ""टेरीको विधेयक"" पेश गर्ने अपेक्षा गरिएको छ।",3.75
"साथै, यूटा भरका व्यवसायहरूले तिनीहरूका संकेतहरूमा एम्बर अलर्टहरू प्रदर्शन गर्न स्वयम्सेवा गरिरहेका छन्।",अन्य व्यवसायहरूले उनीहरूको इलेक्ट्रोनिक चिन्हहरू र बिलबोर्डहरूमा अलर्टहरू राख्न स्वयंसेवा गरिरहेका छन्।,3.75
"जापानी मुद्राको विरुद्धमा यूरोको वृद्धिको लागि धन्यवाद, डलर 117.24 येन मा थियो, जुन 116 येनको 10-महिनाको न्यून भन्दा माथि थियो।","येनको बिरूद्ध यूरोको वृद्धि र जापानी हस्तक्षेपको अनुमानले डलर फर्मलाई 117.25 येनमा मद्दत गर्‍यो, बिहीबार 116 येनको 10 महिनाको न्यून भन्दा माथि।",4.25
युकोस आयलका प्रमुख कार्यकारी मिखाइल खोडोरकोवस्की गत शनिबार ठगी र कर छलीको आरोपमा पक्राउ परेपछि रुसी शेयर बजारमा गिरावट आएको छ ।,"ठगी र कर छलीको आरोपमा रसियाको सबैभन्दा धनी व्यक्ति मिखाइल खोडोरकोभस्की, तेल कम्पनी युकोसका प्रमुख कार्यकारीको सप्ताहन्तमा पक्राउ परेको छ।",4.0
"वर्षको लागि, यसले $ 94 मिलियनको बिक्री र निरन्तर सञ्चालनबाट 26 सेन्टको नाफाको अपेक्षा गर्दछ।",यो $ 22.5 मिलियन र 5 सेन्ट एक शेयर अघिल्लो पूर्वानुमान को तुलना मा वृद्धि हो।,0.75
"ह्युजेसले हर्नान्डेजलाई पुन: हायर गर्न अस्वीकार गरेपछि, उनले समान रोजगार अवसर आयोगमा गुनासो गरे।",हर्नान्डेजले समान रोजगार अवसर आयोगमा उजुरी दर्ता गरे र मुद्दा दायर गरे।,3.4
"Dewhurst को प्रस्तावले विद्यालय वित्तको लागि विवादास्पद ""रोबिन हुड"" योजनाको अचानक अन्त्यको लागि आह्वान गर्दछ।","समितिले ""रोबिन हुड"" स्कूल वित्त प्रणालीको लागि प्रतिस्थापन प्रस्ताव गर्नेछ।",2.6
अन्य देशहरू र निजी लेनदारहरूले कम्तिमा $ 80 बिलियन थप ऋणी छन्।,अन्य देशहरूले कम्तिमा US80 बिलियन डलर ($ 108.52 बिलियन) ऋणी छन्।,3.4
"अक्टोबर 1 पछि सूचीमा रहेका नम्बरहरूमा कल गर्ने टेलिमार्केटरहरूले प्रति कल $ 11,000 सम्म जरिवाना भोग्न सक्छन्।","कानून अन्तर्गत, सूचीमा नम्बरहरू कल गर्ने टेलिमार्केटरहरूलाई प्रत्येक उल्लंघनको लागि $ 11,000 सम्म जरिवाना गर्न सकिन्छ।",3.6
इङ्गल्याण्डको ब्रिस्टल विश्वविद्यालयमा पोस्ट-डक्टोरल अनुसन्धान सहायकको रूपमा 2001 मा विट्समा आउँदा उनले एन्टेटोनिट्रस फेला पारेको बताए।,बेलायतको ब्रिस्टल युनिभर्सिटीमा पोस्ट-डक्टोरल अनुसन्धान सहायक हुँदा २००१ मा विट्समा आउँदा उनले एन्टेटोनिट्रस फेला पारेको बताए।,5.0
"एयर क्यानाडा, क्यानाडाको सबैभन्दा ठूलो एयरलाइन र विश्वको 11 नम्बरमा, अप्रिल 1 देखि लेनदारहरूबाट अदालतको सुरक्षामा छ।","विश्वको नम्बर ११ एयरलाइन, एयर क्यानडा अप्रिल १ देखि लेनदारहरूको अदालतको सुरक्षामा छ।",4.25
जूरीले गोन्जालेसलाई ओल्भेरा-कारेरालाई काली मिर्चको स्प्रेमा मिसाएर अत्यधिक बल प्रयोग गरेकोमा पनि दोषी पाए।,गोन्जालेसलाई मिर्च स्प्रेको साथ ओल्भेरा स्प्रे गरेर अत्यधिक बल प्रयोग गरेकोमा दोषी पाइयो।,4.25
रेलमुनिबाट निकालिएका केही मृतकको शव ट्र्याकको छेउमा राखिएको थियो भने आपतकालीन सेवाहरूले काठको कफिनमा ल्याएका थिए।,आंशिक रूपमा पटरीबाट खसेको ट्रेन मुनिबाट निकालिएका धेरै मृतकहरूको शव पहिचानको पर्खाइमा ट्र्याकहरूमा राखिएको थियो।,3.25
बगदादका स्वघोषित मेयर मोहम्मद मोहसेन अल जुबैदीलाई दुई दिनको गठबन्धन हिरासतमा राखेर रिहा गरिएको गार्नरले बताए।,गार्नरले बगदादका स्वघोषित मेयर मोहम्मद मोहसेन जुबैदीलाई अप्रिलको अन्त्यमा हिरासतमा राखेको ४८ घण्टापछि रिहा गरिएको बताए।,4.25
"""एनरोन कम्पनीका कार्यकारीहरूले व्यापक र व्यापक ठगीमा संलग्न छन्,"" अभियोजक स्यामुएल बुएलले एसोसिएटेड प्रेसलाई भने।","""एनरोन कम्पनीका कार्यकारीहरूले कम्पनीको आय नतिजालाई हेरफेर गर्न व्यापक र व्यापक ठगीमा संलग्न छन्,"" बुएलले भने।",3.75
"$1,219 प्रवेश शुल्क तिर्ने ग्राहकहरूले 10 यन्त्र ग्राहक पहुँच इजाजतपत्रहरू सहित SMS 2003 प्राप्त गर्छन्।","10 यन्त्र ग्राहक पहुँच इजाजतपत्रहरू सहित SMS 2003 को लागि खुद्रा मूल्य निर्धारण $ 1,219 हो।",4.333
स्ट्याटिस्टिक्स क्यानाडाले हिजो सार्वजनिक गरेको २००१ आदिवासी जनजाति सर्वेक्षणको नतिजाले जीवनस्तरमा सुधार आएको तर रिजर्भ बन्द भएकाहरूका लागि अझै पछाडि रहेको सुझाव दिन्छ।,स्ट्याटिस्टिक्स क्यानाडाले बुधबार जारी गरेको २००१ आदिवासी जनजाति सर्वेक्षणले जीवनस्तरमा सुधार आएको तर इनुइट र प्रायः गरिब भण्डार छोड्नेहरूका लागि अझै पछाडि रहेको बताउँछ।,3.909
"""स्टक बजारमा भर्खरको परिवर्तन र बेरोजगारी दावीहरूमा सहजताले उपभोक्ताको अपेक्षाहरू हालको स्तरमा राख्नुपर्छ र अगाडि बढि अनुकूल आर्थिक समयको संकेत हुन सक्छ।""","स्टक बजारमा भर्खरको परिवर्तन र बेरोजगारीमा सहजताले ""अगाडि थप अनुकूल आर्थिक समयको संकेत गर्न सक्छ,"" उनले भनिन्।",3.933
"जब दिनको कारोबार कमजोर थियो, मानक र गरीबको 500 सूचकांक सन् 1998 को चौथो त्रैमासिक पछिको सबैभन्दा राम्रो तीन-महिना अवधि बन्द गर्ने तयारी गरिरहेको थियो।","मानक र गरीबको 500 स्टक सूचकांक त्रैमासिक समाप्त भयो 120 अंक, 14 प्रतिशतको वृद्धि, जुन 1998 पछिको व्यापक बजार बेन्चमार्कको लागि उत्कृष्ट प्रदर्शन हो।",3.75
ONA ले जेमाह इस्लामियाह आतंकवादी सञ्जालले बालीमा अपरेशन गर्ने योजना बनाएको संकेत गर्ने गुप्तचर सामग्री प्राप्त नभएको स्पष्ट रूपमा बताएको छ।,"""तर कुनै पनि चरणमा ONA ले जेमाह इस्लामियाह बालीमा अपरेशन गर्ने योजना बनाएको संकेत गर्ने गुप्तचर सामग्री प्राप्त गरेन।""",4.25
ती रिपोर्टहरू आन्तरिक मन्त्री प्रिन्स नायफले अस्वीकार गरे।,"तर, साउदीका आन्तरिक मन्त्री प्रिन्स नायेफले उक्त रिपोर्टको खण्डन गरेका छन् ।",4.25
ब्रायन्टले पहिले भनेका थिए कि वृद्धिले अधिकारीहरूले अपेक्षा गरेको भन्दा मागमा ठूलो प्रभाव पारेको थियो।,मुख्य वित्तीय अधिकारी एन्डी ब्रायन्टले भनेका छन् कि वृद्धिले अधिकारीहरूले अपेक्षा गरेको भन्दा ठूलो मात्रामा प्रभाव पारेको छ।,3.5
"जब मुहम्मदलाई फेब्रुअरी १२ मा औपचारिक रूपमा सजाय सुनाइयो भने न्यायाधीश लेरोय मिलेट जूनियरले प्यारोल बिना नै आजीवन कारावासको सजाय घटाउन सक्छन्, तर भर्जिनियाका न्यायाधीशहरूले यस्तो कारबाही कमै गर्छन्।","यद्यपि न्यायाधीशले पेरोल बिना जेलमा जीवनको सजाय घटाउन सक्छ, विज्ञहरू भन्छन् कि भर्जिनियाका न्यायाधीशहरूले त्यो अवसर विरलै लिन्छन्।",3.25
स्ट्रङ मेमोरियल अस्पतालका प्रवक्ताले मंगलबार राति दौडको अवस्था सन्तोषजनक रहेको बताए ।,स्ट्रङ मेमोरियल अस्पतालका प्रवक्ताले भने कि डउड मंगलबार साँझ आपतकालीन कोठामा मूल्याङ्कन अन्तर्गत थिए।,3.0
"रे ब्रेन्ट मार्श, 29, दफन सेवा धोखाधडी, झूटा बयान दिने, शवको दुरुपयोग र चोरीको धेरै संख्याको सामना गर्दै।",२९ वर्षीय रे ब्रेन्ट मार्सले पनि शरीरको दुर्व्यवहार र चोरीको आरोपको सामना गर्नु परेको छ।,3.8
त्यसपछि कलेजका अध्यक्ष पल प्रिबेनोले उनलाई आफ्नो भाषण टुङ्ग्याउन भने ।,"हेजेजको माइक्रोफोन दोस्रो पटक अनप्लग गरिसकेपछि, प्रिबेनोले उसलाई आफ्नो भाषण समेट्न भने।",3.4
"जुन 30 मा समाप्त भएको 12-महिनाको अवधिमा, घर र व्यवसायहरूमा स्थापित उच्च-गति लाइनहरू 45 प्रतिशतले बढेको छ।","जुन 30, 2003 मा समाप्त भएको पूर्ण वर्ष अवधिको लागि, उच्च-गति लाइनहरू 45 प्रतिशतले बढ्यो।",3.857
"रिकी क्लेमन्सको संक्षिप्त, समस्याग्रस्त मिसौरी बास्केटबल क्यारियर समाप्त भयो।","मिसौरीले रिकी क्लेमन्सलाई आफ्नो टोलीबाट निकाल्यो, त्यहाँ उनको समस्याग्रस्त क्यारियर समाप्त भयो।",4.0
अमेरिकी सेनाका अधिकारीहरूले हेलिकप्टरबाट रोटर वास गर्दा ब्यानर उडाएको हुनसक्ने बताएका छन्।,"अमेरिकी अधिकारीहरूले भने कि घुमिरहेको हेलिकप्टरबाट उत्पन्न ""रोटर वाश"" ले टावरबाट झण्डा हटायो।",3.4
O'Malley ले देशको चौथो ठूलो आर्कडायोसेसको नेतृत्व लिएको दुई महिना पछि यो हप्ता प्रभावकारी बन्दोबस्त भएको थियो।,"सेप्टेम्बरमा $ 85 मिलियन सम्झौता भएको थियो, आर्चबिशप शन ओ'मल्लीले राष्ट्रको चौथो ठूलो डायोसिसको नेताको रूपमा पदभार ग्रहण गरेको दुई महिना पछि।",3.0
"अधिकारीहरूले सिनेट शाखाको तहखानेमा सम्भावित खतरनाक सामग्री फेला पारेपछि अमेरिकी क्यापिटललाई हिजो खाली गरियो, क्यापिटल पुलिसले भने।","अमेरिकी क्यापिटल पुलिसले हिजो क्यापिटल खाली गर्‍यो जब सेन्सरले सिनेट शाखामा सम्भावित बायोहाजार्ड पत्ता लगाए, तर अधिकारीहरूले पछि भने कि यो गलत अलार्म हो।",3.2
"पूर्व राष्ट्रपतिले पनि बिना क्षतिपूर्ति 2002 मा धेरै भाषण दिए, उनका प्रवक्ता जिम केनेडीले भने।",उनका प्रवक्ता जिम केनेडीले भने कि पूर्व राष्ट्रपतिले पनि बिना क्षतिपूर्ति 2002 मा 70 भन्दा बढी भाषण दिए।,3.6
फराकिलो स्ट्यान्डर्ड एन्ड पुअर्स ५०० इन्डेक्स एसपीएक्स ०.०४ अंक वा ० प्रतिशतले घटेर ९७१.५२ मा थियो।,"स्ट्यान्डर्ड एन्ड पुअरको ५०० स्टक इन्डेक्स फ्युचर्स जुनको लागि २.६० अंकले झरेर ९६५.७० मा रहेको छ भने नास्डाक फ्युचर्स ७.५० अंकले घटेर १,१८३.५० मा थियो।",1.6
"डब गरिएको प्रोजेक्ट म्याड ह्याटर, लिनक्स-आधारित डेस्कटपलाई विन्डोजको लागि अधिक सुरक्षित र कम महँगो विकल्पको रूपमा सनद्वारा प्रचार गरिएको छ।","माइक्रोसफ्ट कर्पोरेशनसँग प्रतिस्पर्धा गर्न डिजाइन गरिएको, प्रोजेक्ट म्याड ह्याटरलाई सनले माइक्रोसफ्टका विभिन्न डेस्कटप प्रस्तावहरूमा सस्तो, सुरक्षित वैकल्पिक डेस्कटप अपरेटिङ सिस्टमको रूपमा राखेको छ।",3.8
पूर्व राज्य कोषाध्यक्ष पॉल सिल्भेस्टरको घुसखोरी योजनाको एक प्रमुख व्यक्तिलाई बुधवार बोस्टनको लगानी फर्मसँग सिल्भेस्टरको कथित भ्रष्ट व्यवहारको बारेमा आफ्नो कथा परिवर्तन गरेको आरोप लगाइएको थियो।,राज्यका पूर्व कोषाध्यक्ष पल सिल्भेस्टरको भ्रष्टाचार योजनामा ​​प्रमुख खेलाडीले मंगलबार राज्य व्यवसायको लागि सिल्भेस्टरले किकब्याक र घूसको बारेमा गवाही दिए।,2.0
"""CAPPS II प्रणालीको मिशन उड्डयन सुरक्षा रहेको छ र सधैं रहनेछ,"" प्रशासन, होमल्याण्ड सुरक्षा विभागको भागले भन्यो।","""CAPPS II प्रणालीको मिशन उड्डयन सुरक्षा हो र सधैं हुनेछ,"" तिनीहरूले भने।",3.6
"होभान बोलेनन्, तर उनका वकिल जोन स्पेरान्जाले भने कि उनका ग्राहक कसैलाई चोट पुर्याउने उद्देश्यले ""त्यस दिन उठेनन्""।","होभान ""त्यस दिन उठेका थिएनन्"" कसैलाई चोट पुर्याउने उद्देश्यले, बचाव पक्षका वकिल जोन स्पेरान्जाले भने।",4.5
"""हामी विश्वास गर्छौं कि सर्वोच्च अदालतको नियुक्तिमा विभाजनकारी पुष्टिकरण लडाइँ हुनु आवश्यक छैन,"" Daschle लेखे।","""हामी विश्वास गर्छौं कि विभाजनकारी पुष्टिकरण लडाई हुनु आवश्यक छैन,"" साउथ डकोटाका ड्यास्ले रिपब्लिकन राष्ट्रपतिले लेखे।",4.0
"याहूले बीएसडी साइटहरू मध्ये 159,354 वटा समावेश गर्दछ, जसमा एनटीटी/भेरियोबाट 152,054 र इन्फोस्पेसबाट 129,378 साइटहरू छन्, सर्वेक्षणले पत्ता लगायो।","अन्य १,५२,०५४ आईपी सेवा कम्पनी एनटीटी/भेरियोका छन्, र १,२९,३७८ इन्फोस्पेसका छन्, सर्वेक्षणले पत्ता लगायो।",3.0
"CNN मा भर्खरको शीर्ष-स्तरीय फेरबदलमा, Teya Ryan ले यूएस प्रोग्रामिङको महाप्रबन्धकको रूपमा आफ्नो पद छोड्दैछ, नेटवर्कले घोषणा गर्यो।","मूल्याङ्कनलाई पुनर्जीवित गर्न CNN को पछिल्लो कदममा, नेटवर्कले यूएस प्रोग्रामिङका महाप्रबन्धक तेया रायनलाई हटायो।",3.769
